state,parent_state,to_move,layer,P(X wins),P(X wins) difference,P(O wins),P(O wins) difference,P(draws),P(draws) difference
OXXOO.XOX,OXXOO.X.X,X,8,1.0,0.5,0.0,-0.5,0.0,0.0
OXXOO.X.X,OXXOO...X,O,7,0.5,0.0,0.5,0.0,0.0,0.0
OXXOOO.XX,OXXOO..XX,X,8,0.0,0.0,1.0,0.0,0.0,0.0
OXXOO.OXX,OXXOO..XX,X,8,0.0,0.0,1.0,0.0,0.0,0.0
OXXOO..XX,OXXOO...X,O,7,0.0,-0.5,1.0,0.5,0.0,0.0
OXXOO...X,OXXO....X,X,6,0.5,0.08333333329999998,0.5,-0.08333333330000003,0.0,0.0
OXXOXOO.X,OXXOXO..X,X,8,0.0,-0.5,1.0,0.5,0.0,0.0
OXXOXOXOX,OXXOXO.OX,O,9,1.0,0.0,0.0,0.0,0.0,0.0
OXXOXO.OX,OXXOXO..X,X,8,1.0,0.5,0.0,-0.5,0.0,0.0
OXXOXO..X,OXXO.O..X,O,7,0.5,0.16666666670000002,0.5,-0.16666666669999997,0.0,0.0
OXXO.OXOX,OXXO.OX.X,X,8,1.0,0.5,0.0,-0.5,0.0,0.0
OXXO.OX.X,OXXO.O..X,O,7,0.5,0.16666666670000002,0.5,-0.16666666669999997,0.0,0.0
OXXO.OOXX,OXXO.O.XX,X,8,0.0,0.0,1.0,0.0,0.0,0.0
OXXO.O.XX,OXXO.O..X,O,7,0.0,-0.3333333333,1.0,0.33333333330000003,0.0,0.0
OXXO.O..X,OXXO....X,X,6,0.3333333333,-0.08333333340000004,0.6666666667,0.08333333339999993,0.0,0.0
OXXO..O.X,OXXO....X,X,6,0.0,-0.4166666667,1.0,0.41666666669999997,0.0,0.0
OXXOX.OOX,OXXOX..OX,X,8,0.0,-0.5,1.0,0.5,0.0,0.0
OXXOX..OX,OXXO...OX,O,7,0.5,-0.33333333330000003,0.5,0.33333333330000003,0.0,0.0
OXXO.X.OX,OXXO...OX,O,7,1.0,0.16666666669999997,0.0,-0.1666666667,0.0,0.0
OXXO..XOX,OXXO...OX,O,7,1.0,0.16666666669999997,0.0,-0.1666666667,0.0,0.0
OXXO...OX,OXXO....X,X,6,0.8333333333,0.4166666666,0.1666666667,-0.41666666660000007,0.0,0.0
OXXO....X,OX.O....X,O,5,0.4166666667,-0.08333333329999998,0.5833333333,0.1833333333,0.0,-0.1
OX.OXOXOX,OX.OXOX.X,X,8,1.0,0.0,0.0,0.0,0.0,0.0
OX.OXOX.X,OX.OXO..X,O,7,1.0,0.16666666669999997,0.0,-0.1666666667,0.0,0.0
OX.OXO.XX,OX.OXO..X,O,7,1.0,0.16666666669999997,0.0,-0.1666666667,0.0,0.0
OX.OXO..X,OX.OX...X,X,6,0.8333333333,0.4166666666,0.1666666667,-0.25,0.0,-0.1666666667
OX.OX.O.X,OX.OX...X,X,6,0.0,-0.4166666667,1.0,0.5833333332999999,0.0,-0.1666666667
OX.OXXOOX,OX.OXX.OX,X,8,0.0,0.0,1.0,0.5,0.0,-0.5
OX.OXX.OX,OX.OX..OX,O,7,0.0,-0.3333333333,0.5,0.16666666670000002,0.5,0.16666666670000002
OX.OX.XOX,OX.OX..OX,O,7,0.5,0.16666666670000002,0.0,-0.3333333333,0.5,0.16666666670000002
OX.OX..OX,OX.OX...X,X,6,0.3333333333,-0.08333333340000004,0.3333333333,-0.08333333340000004,0.3333333333,0.16666666659999999
OX.OX...X,OX.O....X,O,5,0.4166666667,-0.08333333329999998,0.4166666667,0.0166666667,0.1666666667,0.06666666669999999
OX.OOXXOX,OX.OOXX.X,X,8,1.0,0.0,0.0,0.0,0.0,0.0
OX.OOXX.X,OX.OOX..X,O,7,1.0,0.16666666669999997,0.0,-0.1666666667,0.0,0.0
OX.OOXOXX,OX.OOX.XX,X,8,0.0,-0.5,1.0,0.5,0.0,0.0
OX.OOX.XX,OX.OOX..X,O,7,0.5,-0.33333333330000003,0.5,0.33333333330000003,0.0,0.0
OX.OOX..X,OX.O.X..X,X,6,0.8333333333,0.4166666666,0.1666666667,-0.25,0.0,-0.1666666667
